pl_name,hostname,pl_rade,ra
Kepler-37 b,Kepler-37,0.3098,284.0592503
Kepler-37 c,Kepler-37,0.755,284.0592503
Kepler-374 b,Kepler-374,1.03,294.1378921
Kepler-376 b,Kepler-376,1.07,291.6071451
Kepler-382 b,Kepler-382,1.32,299.1362435
Kepler-383 b,Kepler-383,1.32,291.3426078
Kepler-389 c,Kepler-389,1.46,291.9600082
Kepler-391 c,Kepler-391,2.88,290.6218844
Kepler-396 b,Kepler-396,3.5,296.1328135
Kepler-398 d,Kepler-398,0.88,291.4688524
Kepler-400 c,Kepler-400,1.49,290.9444679
Kepler-402 d,Kepler-402,1.38,288.3701976
Kepler-405 c,Kepler-405,4.66,291.4094615
Kepler-406 c,Kepler-406,0.85,291.8481764
Kepler-410 A b,Kepler-410 A,2.838,283.1510448
Kepler-415 c,Kepler-415,2.01,293.8045041
Kepler-417 c,Kepler-417,2.69,293.8241813
Kepler-419 c,Kepler-419,12.6,295.4179125
Kepler-423 b,Kepler-423,13.361,292.8557189
Kepler-424 c,Kepler-424,12.7,298.6249797
Kepler-434 b,Kepler-434,12.67,293.5863887
